플랫폼명,회사명,주요상품,홈페이지
8퍼센트,(주)에잇퍼센트,부동산담보/증권담보/개인신용,https://8percent.kr/
FM펀딩,주식회사 에프엠펀딩,부동산담보,https://fmfunding.co.kr/
NICE abc,NICE비즈니스플랫폼(주),매출채권/전자어음/스탁론,https://www.niceabc.co.kr/
나모펀딩,(주)나모펀딩,부동산담보,https://namofunding.co.kr/
누리펀딩,(주)누리펀딩,선정산,https://www.nurifunding.co.kr/
데일리펀딩,(주)데일리펀딩,부동산담보/SCF선정산/스탁론/부동산PF,https://new.daily-funding.com/
루트펀드,루트인프라금융,태양광,https://rootenergy.co.kr/
론포인트,주식회사 론포인트,부동산담보,https://www.loanpoint.co.kr/
리딩플러스,(주)리딩플러스,스탁론,https://www.leadingplusfunding.com/index
머니무브,(주)머니무브,직장인신용,https://moneymove.ai/
모우다,(주)모우다,개인신용/닥터론/부동산담보,https://mouda.kr/
미라클펀딩,미라클핀테크,부동산/카드매출,https://www.miraclefunding.co.kr/
비플러스,(주)비플러스,소셜펀딩/우리동네펀딩,https://benefitplus.kr/
솔라브리지,솔라브리지 주식회사,태양광,https://www.solarbridge.kr/
어니스트펀드,(주)어니스트에이아이,부동산담보,https://www.honestfund.kr/
에이스펀딩,에이스펀딩 주식회사,부동산담보,https://acefunding.co.kr/
오아시스펀드,오아시스펀드,부동산담보/저작권담보/개인신용,https://oasisfund.kr/
와이펀드,(주)와이펀드,부동산담보/미술품담보/선정산,https://www.yfund.co.kr/
위펀딩,주식회사 위펀딩,부동산담보/부동산PF,https://www.wefunding.com/
윙크스톤,윙크스톤파트너스,개인사업자신용,https://www.winkstone.com/
줌펀드,주식회사 줌펀드,부동산담보,https://www.zoomfund.co.kr/home
칵테일펀딩,(주)트리거파트너스,부동산담보,https://v2.cocktailfunding.com/
코코펀딩,코코펀딩 주식회사,부동산담보/카드매출,https://cocofunding.com/
크플,피에프씨테크놀로지스(주),부동산담보/카드매출/개인신용,https://www.cple.co.kr/
투게더펀딩,(주)투게더앱스,부동산담보,https://www.together.co.kr/
펀다,(주)펀다에이아이,개인신용,https://www.funda.kr/
펀딩119,(주)펀딩119,부동산담보/배당금담보,https://www.funding119.com/
펀펀딩,베네핏소셜 주식회사,매출채권,https://www.funfunding.co.kr/
프로핏,(주)프로핏,,https://www.pro-fit.co.kr/
프리스닥,프리스닥(주),주식담보,https://presdaqfunding.co.kr/index
하이펀딩,하이펀딩,증권담보,https://hifunding.co.kr/main-invest
한패스파이낸스(舊 타이탄인베스트),주식회사 한패스파이낸스,비자론,https://www.titaninvest.co.kr/index
크로스파이낸스코리아,(주)크로스파이낸스코리아,,https://kross-finance.vercel.app/
헬로펀딩,헬로핀테크,부동산담보,https://www.hellofunding.co.kr/sp/main
허브펀드,허브펀드 주식회사,부동산담보,https://hubfund.co.kr/
